,scennumb,nsites_train,intra,select,regression,idtrain,idtest,hm,y_ref,y_pred,TP,TN,weights
395,2,1,0,1,0,2,1,0,1,0,0,0,0.703488372093
396,2,1,0,1,0,2,1,1,0,0,0,1,0.703488372093
397,2,1,0,1,0,2,1,0,0,1,0,0,0.703488372093
398,2,1,0,1,0,2,1,0,0,1,0,0,0.703488372093
399,2,1,0,1,0,2,1,0,1,0,0,0,0.703488372093
400,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
401,2,1,0,1,0,2,1,1,0,0,0,1,0.703488372093
402,2,1,0,1,0,2,1,1,0,0,0,1,0.703488372093
403,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
404,2,1,0,1,0,2,1,0,1,0,0,0,0.703488372093
405,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
406,2,1,0,1,0,2,1,0,1,0,0,0,0.703488372093
407,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
408,2,1,0,1,0,2,1,0,0,1,0,0,0.703488372093
409,2,1,0,1,0,2,1,1,0,0,0,1,0.703488372093
410,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
411,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
412,2,1,0,1,0,2,1,0,0,1,0,0,0.703488372093
